id,municipio,apodo,id_municipio_sepomex,id_estado
523,Metepec,Metepec,35,13
524,Huehuetla,Huehuetla,27,13
525,San Bartolo Tutotepec,San Bartolo Tutotepec,53,13
526,Agua Blanca de Iturbide,Agua Blanca de Iturbide,4,13
527,Tenango de Doria,Tenango de Doria,60,13
528,Huasca de Ocampo,Huasca de Ocampo,24,13
529,Acatlán,Acatlán,1,13
530,Omitlán de Juárez,Omitlán de Juárez,45,13
531,Epazoyucan,Epazoyucan,22,13
532,Tulancingo de Bravo,Tulancingo de Bravo,77,13
533,Acaxochitlán,Acaxochitlán,2,13
534,Cuautepec de Hinojosa,Cuautepec de Hinojosa,16,13
535,Santiago Tulantepec de Lugo Guerrero,Santiago Tulantepec de Lugo Guerrero,56,13
536,Singuilucan,Singuilucan,57,13
537,Tizayuca,Tizayuca,69,13
538,Zempoala,Zempoala,83,13
539,Tolcayuca,Tolcayuca,75,13
540,Villa de Tezontepec,Villa de Tezontepec,66,13
541,Apan,Apan,8,13
542,Tlanalapa,Tlanalapa,72,13
543,Almoloya,Almoloya,7,13
544,Emiliano Zapata,Emiliano Zapata,21,13
545,Tepeapulco,Tepeapulco,61,13
546,Guadalajara,Guadalajara,39,14
547,Zapopan,Zapopan,120,14
548,San Cristóbal de la Barranca,San Cristóbal de la Barranca,71,14
549,Ixtlahuacán del Río,Ixtlahuacán del Río,45,14
550,Tala,Tala,83,14
551,El Arenal,El Arenal,9,14
552,Amatitán,Amatitán,5,14
553,Tonalá,Tonalá,101,14
554,Zapotlanejo,Zapotlanejo,124,14
555,Acatic,Acatic,1,14
556,Cuquío,Cuquío,29,14
557,San Pedro Tlaquepaque,San Pedro Tlaquepaque,98,14
558,Tlajomulco de Zúñiga,Tlajomulco de Zúñiga,97,14
559,El Salto,El Salto,70,14
560,Acatlán de Juárez,Acatlán de Juárez,2,14
561,Villa Corona,Villa Corona,114,14
562,Zacoalco de Torres,Zacoalco de Torres,119,14
563,Atemajac de Brizuela,Atemajac de Brizuela,10,14
564,Jocotepec,Jocotepec,50,14
565,Ixtlahuacán de los Membrillos,Ixtlahuacán de los Membrillos,44,14
